Company number, Job Title, Industry, Main Company Interest, Country,Country Region,Channel Group (Inbound),Device Category, Num of Employees, Signup Timestamp Date, Conversion to Mql Timestamp Date, First Demo Date Date, Conversion to Paid Timestamp Date, Arr At Conversion
1,Owner,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-Bingpaid,PC,20,14/06/2024,14/06/2024,,,
2,xb,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
3,Foreman,construction,general,Australia,APAC,cpc-google_pmax,Mobile,20,14/06/2024,15/06/2024,,,
4,nxn,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
5,vbb,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
6,QA Manager,manufacturing,checklists,Mexico,NorthAmerica,cpc-google,PC,"3,000",14/06/2024,14/06/2024,,,
7,Manager,foodBeverages,scheduling,Canada,NorthAmerica,cpc-google,PC,20,14/06/2024,14/06/2024,,28/06/2024,"1,128"
8,xb,foodBeverages,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
9,Auto electrician,fieldServices,general,South Africa,Africa,mobile,Mobile,75,14/06/2024,,,,
10,jdjdjeb,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
11,Intern,governmental,general,United States of America,NorthAmerica,organic,PC,40,14/06/2024,14/06/2024,,,
12,OFFICE MANAGER,construction,timeClock,United States of America,NorthAmerica,organic,PC,40,14/06/2024,14/06/2024,28/04/2023,,
13,hxhxbb,retail,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
14,nxbsbsb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
15,Toolmaker,manufacturing,timeClock,United States of America,NorthAmerica,cpc-google,Mobile,40,14/06/2024,,,,
16,Area Manager,other,"timeClock,schedule",United States of America,NorthAmerica,cpc-google,Mobile,20,14/06/2024,,,,
17,Center Director,education,general,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,14/06/2024,,28/06/2024,420
18,gdd,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
19,Operations Analyst,cleaning,timeTracking,Oman,ArabStates,cpc-google,PC,"3,000",14/06/2024,,,,
20,Owner,cleaning,general,Malta,Europe,organic,PC,20,14/06/2024,14/06/2024,,,
21,Coordenator,hospitality,scheduling,Brazil,SouthAmerica,insite,PC,20,14/06/2024,,,,
22,djsjb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
23,Manager,retail,scheduling,United Kingdom,Europe,cpc-google,Mobile,20,14/06/2024,,,,
24,xbbsb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
25,Store Manager,retail,scheduling,United Kingdom,Europe,cpc-google,PC,20,14/06/2024,,,,
26,President,construction,general,United States of America,NorthAmerica,cpc-google_brand,PC,20,14/06/2024,14/06/2024,,01/07/2024,420
27,bshsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
28,bxbeb,foodBeverages,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
29,nsnsbwb,construction,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
30,ndbsbb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
31,hdhshh,retail,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
32,ndhsbsb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
33,hb,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
34,MANAGING DIRECTOR / OWNER,transportation,general,United States of America,NorthAmerica,cpc-google_brand,PC,40,14/06/2024,14/06/2024,19/06/2024,22/06/2024,"4,932"
35,bbbxbzb,manufacturing,schedule,Afghanistan,ArabStates,mobile,Mobile,75,14/06/2024,,,,
36,Manager,npo,timeTracking,Australia,APAC,cpc-google,PC,20,14/06/2024,,,,
37,znns na,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
38,Admin,security,general,Qatar,ArabStates,cpc-google,PC,750,14/06/2024,,,,
39,Director,healthcare,documentManagement,Australia,APAC,organic,PC,40,14/06/2024,,,,
40,General Manager,foodBeverages,general,United States of America,NorthAmerica,organic,Mobile,75,14/06/2024,19/06/2024,20/06/2024,28/06/2024,"5,868"
41,hxhxbb,retail,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
42,Cleaner,cleaning,general,United States of America,NorthAmerica,mobile,Mobile,75,14/06/2024,,,,
43,h,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
44,Office Manager,construction,timeClock,United States of America,NorthAmerica,cpc-Bingpaid,PC,40,14/06/2024,14/06/2024,,10/07/2024,463.2
45,nxnsnsnn,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
46,PM Intern,construction,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,,,,
47,Senior Manager,other,schedule,United States of America,NorthAmerica,cpc-pmp,PC,75,14/06/2024,,28/05/2024,,
48,bxbzbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
49,Ffjkj,security,timeClock,Uzbekistan,APAC,mobile,Mobile,20,14/06/2024,,,,
50,bsbs,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
51,Community Services manager,other,trainingAndOnboarding,New Zealand,APAC,cpc-google_pmax,Mobile,20,14/06/2024,,,,
52,Chairperson,fitness,schedule,United Kingdom,Europe,direct,PC,20,14/06/2024,14/06/2024,,,
53,bvh,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
54,Child and Youth Care Worker,fieldServices,checklists,Canada,NorthAmerica,cpc-google,PC,40,14/06/2024,14/06/2024,,,
55,jsnsn,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
56,bxbzbb,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
57,aaaaa,foodBeverages,scheduling,United Kingdom,Europe,cpc-google,PC,40,14/06/2024,,,,
58,Office Employee,construction,schedule,United States of America,NorthAmerica,cpc-google_brand,PC,40,14/06/2024,,,,
59,Propriétaire,foodBeverages,general,Canada,NorthAmerica,direct,PC,20,14/06/2024,14/06/2024,,,
60,עובדת ייצור,manufacturing,general,Israel,Israel,mobile,Mobile,40,14/06/2024,,,,
61,bzbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
62,bdbeb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
63,Manager,foodBeverages,general,Philippines,APAC,organic,PC,75,14/06/2024,18/06/2024,,28/06/2024,420
64,nxnsb,foodBeverages,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
65,Traffic marshall,construction,general,United Kingdom,Europe,mobile,Mobile,"3,000",14/06/2024,,,,
66,bgv,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
67,Supervisor,hospitality,scheduling,United States of America,NorthAmerica,cpc-pmp,Mobile,20,14/06/2024,14/06/2024,,,
68,ndbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
69,hxhxbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
70,Temporary Replacement,cleaning,general,United States of America,NorthAmerica,cpc-google,Mobile,"3,000",14/06/2024,,,,
