Area,Rooms,Code,Currency,Year,Average,January-March,April-June,July-September,October-December
,,51000.0,NIS thousand,2020.0,"1,600.6","1,621.4","1,542.5","1,571.7","1,629.2"
Total),2-1,51010.0,NIS thousand,2020.0,"1,077.3","1,130.8",991.7,"1,052.3","1,100.9"
Total),2.5-3,51030.0,NIS thousand,2020.0,"1,221.3","1,260.2","1,183.2","1,192.9","1,230.3"
Total),3.5-4,51050.0,NIS thousand,2020.0,"1,582.5","1,604.5","1,540.8","1,553.8","1,599.7"
Total),4.5-5,51070.0,NIS thousand,2020.0,"1,960.7","1,968.1","1,847.2","1,933.7","2,025.6"
Total),5.5-6,51090.0,NIS thousand,2020.0,"2,473.9","2,452.6","2,432.7","2,457.2","2,485.2"
,,51100.0,NIS thousand,2020.0,"1,849.2","1,892.8","1,827.6","1,812.7","1,854.5"
Jerusalem District,2-1,51110.0,NIS thousand,2020.0,"1,392.3","1,311.0","1,282.9","1,431.6","1,508.4"
Jerusalem District,2.5-3,51130.0,NIS thousand,2020.0,"1,460.0","1,541.7","1,478.6","1,443.4","1,402.3"
Jerusalem District,3.5-4,51150.0,NIS thousand,2020.0,"1,978.8","2,028.5","1,896.4","1,936.4","2,022.0"
Jerusalem District,4.5-5,51170.0,NIS thousand,2020.0,"2,296.3","2,232.2","2,218.6","2,257.7","2,421.6"
Jerusalem District,5.5-6,51190.0,NIS thousand,2020.0,"2,786.8","3,006.7","2,978.4","2,483.0","2,818.2"
,,51200.0,NIS thousand,2020.0,970.2,931.1,963.1,953.6,"1,010.8"
North District,2-1,51210.0,NIS thousand,2020.0,432.4,418.5,425.5,440.3,449.4
North District,2.5-3,51230.0,NIS thousand,2020.0,653.9,626.1,645.8,655.9,681.2
North District,3.5-4,51250.0,NIS thousand,2020.0,967.0,933.8,956.1,950.2,"1,007.9"
North District,4.5-5,51270.0,NIS thousand,2020.0,"1,272.2","1,264.1","1,233.1","1,225.5","1,342.0"
North District,5.5-6,51290.0,NIS thousand,2020.0,"1,735.3","1,770.8","1,685.5","1,699.6","1,715.1"
,,51300.0,NIS thousand,2020.0,"1,235.3","1,233.9","1,241.8","1,238.5","1,227.5"
Haifa District,2-1,51310.0,NIS thousand,2020.0,606.8,585.6,577.3,635.3,609.2
Haifa District,2.5-3,51330.0,NIS thousand,2020.0,859.4,826.3,864.5,871.4,870.8
Haifa District,3.5-4,51350.0,NIS thousand,2020.0,"1,233.1","1,219.5","1,231.4","1,240.8","1,232.2"
Haifa District,4.5-5,51370.0,NIS thousand,2020.0,"1,583.4","1,566.9","1,572.4","1,587.6","1,579.9"
Haifa District,5.5-6,51390.0,NIS thousand,2020.0,"2,150.0","2,236.0","2,101.1","2,148.5","2,085.0"
,,51400.0,NIS thousand,2020.0,"1,871.0","1,876.3","1,830.8","1,827.9","1,922.7"
center District,2-1,51410.0,NIS thousand,2020.0,"1,000.8","1,008.1",987.8,"1,012.6",988.7
center District,2.5-3,51430.0,NIS thousand,2020.0,"1,278.7","1,308.6","1,264.0","1,240.3","1,302.2"
center District,3.5-4,51450.0,NIS thousand,2020.0,"1,783.8","1,768.6","1,761.8","1,770.3","1,819.1"
center District,4.5-5,51470.0,NIS thousand,2020.0,"2,221.4","2,246.8","2,141.0","2,157.1","2,290.9"
center District,5.5-6,51490.0,NIS thousand,2020.0,"2,681.1","2,590.2","2,685.9","2,713.4","2,705.2"
,,51500.0,NIS thousand,2020.0,"2,373.4","2,380.7","2,247.2","2,365.4","2,398.9"
Tel Aviv District,2-1,51510.0,NIS thousand,2020.0,"1,618.1","1,667.5","1,586.2","1,583.4","1,607.9"
Tel Aviv District,2.5-3,51530.0,NIS thousand,2020.0,"1,928.6","2,000.7","1,859.7","1,863.9","1,926.6"
Tel Aviv District,3.5-4,51550.0,NIS thousand,2020.0,"2,554.0","2,558.1","2,404.8","2,563.9","2,587.9"
Tel Aviv District,4.5-5,51570.0,NIS thousand,2020.0,"3,258.5","3,287.6","2,992.7","3,332.7","3,251.7"
Tel Aviv District,5.5-6,51590.0,NIS thousand,2020.0,"3,345.7","3,022.4","2,764.9","3,947.7","3,361.0"
,,51600.0,NIS thousand,2020.0,"1,151.6","1,117.3","1,132.9","1,164.7","1,179.9"
South District,2-1,51610.0,NIS thousand,2020.0,671.7,637.3,624.5,679.2,730.5
South District,2.5-3,51630.0,NIS thousand,2020.0,841.9,814.3,844.7,851.6,856.4
South District,3.5-4,51650.0,NIS thousand,2020.0,"1,157.3","1,142.7","1,150.4","1,165.3","1,165.2"
South District,4.5-5,51670.0,NIS thousand,2020.0,"1,462.5","1,390.6","1,429.2","1,498.1","1,511.7"
South District,5.5-6,51690.0,NIS thousand,2020.0,"1,817.6","1,810.1","1,798.5","1,829.5","1,807.2"
