CONVERSATION_ID,primary_issue_category,primary_failure_signal,secondary_issue_category,secondary_failure_signal,Priority
f50efaec-2a71-4856-955d-0b7e569765f6,Conversation-Level Red Flags,Conversation ends without resolution,Conversation-Level Red Flags,Escalation after success,Critical blocker
cc89ccfc-7bef-428c-8256-dcca4fddfa59,Conversation-Level Red Flags,Conversation ends without resolution,null,null,Unwanted Friction
086b53be-f7c4-41ab-8925-7d99d2916e85,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
7a069e20-cce4-4287-9ee8-2f26d1343b61,NLU (Understanding) Failures,Menu loops,Conversation-Level Red Flags,Escalation after success,Critical blocker
e5a53d3c-871e-4afc-9604-4cad0ce3cc3c,Software / Technical Failures,Verification loop,Conversation-Level Red Flags,Escalation after success,Critical blocker
ed06c0ba-8f54-44b0-80a9-e8c9661381a0,Software / Technical Failures,Slot availability crash,UX / Flow Failures,Verification loop,Unwanted Friction
d9dc45f2-ecdc-4013-b963-b2138b710397,NLU (Understanding) Failures,Keyword mismatch,Coverage Gaps,Unsupported appointment type,Critical blocker
27e2237a-3bbe-4d38-a577-6fe080e1dda4,Conversation-Level Red Flags,User repeats themselves multiple times,Software / Technical Failures,Slot availability crash,Critical blocker
6d8ccd33-02c4-48d8-ac38-f6ead57d3c2b,NLU (Understanding) Failures,Yes/No misinterpretation,Conversation-Level Red Flags,Escalation after success,Critical blocker
f02395e7-03a8-40de-8555-e8ca8d9061f0,Software / Technical Failures,Slot availability crash,null,null,Unwanted Friction
4d6d6877-dbd8-42bc-9d99-cae102ae2cd5,NLU (Understanding) Failures,Repeated clarification prompts,Software / Technical Failures,Verification loop,Critical blocker
01a61cbf-6050-4873-aecd-c42fafab5686,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
06419bd5-a437-4356-8afd-314fee29608b,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
734e734f-1c36-4410-a963-1bfea8eb15a2,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
725a28f6-28d5-4f9e-b95b-1756e66b489f,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
193abfbf-b757-40a1-bbf6-7121b16c07f6,Conversation-Level Red Flags,Conversation ends without resolution,null,null,Minor 
ab97c800-6932-4709-adec-c89dd022b148,Conversation-Level Red Flags,Escalation after success,null,null,Critical blocker
8ddad66a-bbcf-4bf7-8bde-2fa0d64da720,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
d5a1608e-6edb-4e14-bad9-a783fc25a697,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
edc2a898-8611-4e2f-aeab-502cbc75402e,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
0b0da178-ac0a-4b98-bfba-deee80ff1067,NLU (Understanding) Failures,Complex phrasing ignored,Conversation-Level Red Flags,Escalation after success,Critical blocker
6d43eda9-510a-4840-9340-aff4d3823eab,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
e4a5a405-3132-4087-afca-078d01b8fc63,NLU (Understanding) Failures,Complex phrasing ignored,Software / Technical Failures,Slot availability crash,Critical blocker
8f4d3323-04e9-4f75-8c7c-d5651b348fd0,NLU (Understanding) Failures,Menu loops,Conversation-Level Red Flags,Bot repeats phrases word-for-word,Unwanted Friction
b9a54d62-3124-4bf2-a1f0-fef03a77d7e3,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
1e5b1958-42e3-4368-94bf-68c0884e3377,NLU (Understanding) Failures,Repeated clarification prompts,NLU (Understanding) Failures,Yes/No misinterpretation,Unwanted Friction
7412f370-27d1-4007-b04d-1e128009c038,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
1977a2b9-c819-4089-b550-45de4fbce21b,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
d961406d-dc6c-4825-8f6d-f92a41c9c983,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
c97c1128-800a-4956-b59c-dada3297b4c6,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
30556b0d-fd5c-4562-8a38-38cc8065e838,NLU (Understanding) Failures,Repeated clarification prompts,NLU (Understanding) Failures,Yes/No misinterpretation,Unwanted Friction
fc9ff79e-a2a4-46c6-ae72-0835ddf89294,Conversation-Level Red Flags,Conversation ends without resolution,NLU (Understanding) Failures,Complex phrasing ignored,Minor 
499b61e5-3b79-49a9-a232-eaeb55123559,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
305081cb-57cf-46ed-be08-63eea79046bb,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
3e3a2a4a-a4b5-4336-9224-c746bbbb027b,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
9735c640-b4d3-4d22-a1fb-8b9732d1f543,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
645ae7c1-5641-4d7d-bc2f-8b79fd94cab0,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
19bdba21-3ce8-42b3-90ae-3aa802468db1,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
6bdb9ad9-aca7-441a-b0e9-b617f9b595c5,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
c6013a52-f625-4558-a587-56ec660dd3fc,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
ee2a6b87-d5d8-4fc0-9755-62a464b82eba,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
10eef01d-bdc1-47cd-b2ec-89fc5221f6d8,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
614f4b76-1b06-43c1-a3dc-58beef02c752,Software / Technical Failures,Error handoff,NLU (Understanding) Failures,Complex phrasing ignored,Unwanted Friction
b4b24b94-86a8-452e-af6a-66e117df4bd3,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
54611adf-f78a-4466-b339-6aade71edaee,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
2acfd4be-c39e-4683-b324-d3e148245b0d,NLU (Understanding) Failures,Menu loops,null,null,Minor 
6dcc2649-ffb9-45a6-8dd1-cb327a5e1533,UX / Flow Failures,Rigid option menus,null,null,Unwanted Friction
cfabebed-da05-45c9-949c-f317c950b398,NLU (Understanding) Failures,Repeated clarification prompts,NLU (Understanding) Failures,Menu loops,Unwanted Friction
75d6293c-cdf3-4045-a4ad-cd9b4fc47924,NLU (Understanding) Failures,Repeated clarification prompts,Conversation-Level Red Flags,User repeats themselves multiple times,Critical blocker
3625803a-a90a-4051-b63c-a454dccc92e1,Conversation-Level Red Flags,User repeats themselves multiple times,NLU (Understanding) Failures,Complex phrasing ignored,Unwanted Friction
